file,dialect,loc,sloc,comment_lines,blank_lines,distinct_operators,distinct_operands,total_operators,total_operands,vocabulary,length,calculated_length,volume,difficulty,effort,time_seconds,delivered_bugs,program_level,language_level,dialect_distinct_operators,dialect_total_operators,dialect_distinct_operands,dialect_total_operands
src/polyhedralGravity/opencl/kernel/opencl_sum.cl,opencl,8,7,0,1,22,13,48,33,35,81,146.21321194585474,415.4719243725423,27.92307692307692,11601.254503633294,644.5141390907386,0.13849064145751408,0.03581267217630854,0.5328624731079362,5,6,0,0
src/polyhedralGravity/openmp/Impl_OpenMP.cpp,openmp,469,278,123,68,76,146,1400,1037,222,2437,1524.556876618195,18994.99146629521,269.90410958904107,5126826.2583618425,284823.68102010235,6.331663822098403,0.0037050195401715476,0.26074747307542684,24,52,2,3
src/polyhedralGravity/raja/Impl_Raja.cpp,raja,497,316,115,66,83,164,1585,1166,247,2751,1735.7668015591605,21865.958254089448,295.0548780487805,6451657.646080087,358425.424782227,7.288652751363149,0.0033892000247990246,0.2511671955640819,22,35,0,0
src/polyhedralGravity/slang/Impl_Slang_Cuda.cu,cuda+thrust,175,140,4,31,63,99,523,384,162,907,1032.8749405683761,6657.243952616354,122.18181818181819,813394.1702105801,45188.5650116989,2.2190813175387847,0.00818452380952381,0.4459450059493798,14,16,0,0
src/polyhedralGravity/slang/Impl_Slang_Vulkan.cpp,vulkan,455,339,26,90,130,249,1331,883,379,2214,2894.948296778651,18965.2436405108,230.50200803212851,4371526.7419562945,242862.5967753497,6.321747880170266,0.004338356999738653,0.35695132637669114,72,88,0,0
src/polyhedralGravity/slang/shader/eval.slang,vulkan+slang,394,322,0,72,60,146,1306,1173,206,2479,1404.1278213329938,19054.8348068872,241.027397260274,4592737.238728497,255152.06881824986,6.351611602295733,0.004148905939187268,0.3279988839408037,13,21,0,0
src/polyhedralGravity/slang/wrapper_eval.cu,cuda,68,55,2,11,48,58,227,146,106,373,607.8410977520147,2509.514329552073,60.41379310344827,151609.27949569764,8422.73774976098,0.8365047765173577,0.016552511415525117,0.6875708750186655,12,13,0,0
src/polyhedralGravity/stdpar/Impl_Stdpar.cpp,stdpar,449,264,124,61,55,156,1338,1028,211,2366,1454.497530386367,18268.1206804812,181.2179487179487,3310511.35664874,183917.29759159667,6.0893735601604,0.005518217191368943,0.5562774455080751,1,3,0,0
src/polyhedralGravity/vulkan/Impl_Vulkan.cpp,vulkan,570,458,23,89,124,251,1748,1088,375,2836,2863.1777745296163,24249.917883346876,268.74900398406373,6517141.277844808,362063.40432471153,8.083305961115625,0.0037209440227703987,0.33575040525941136,71,188,0,0
src/polyhedralGravity/vulkan/shader/eval.comp,glsl,470,293,99,78,64,137,1260,1040,201,2300,1356.4303953655922,17597.41888971154,242.91970802919707,4274759.858756204,237486.65881978913,5.865806296570513,0.004116586538461539,0.29821087099424815,21,57,0,0
